Sentence,Manual_Annotation,Matched_Terms
Our preliminary survey and experiments indicate that this is a promising direction to pursue in supporting indoor navigation for the visually impaired.,1,visually impaired
"The dental care setting presents strong sound-visual stimulations that can upset a patient with autism, often forcing dentists to administer chemical sedation in order to deliver dental care.",0,patient
"It is important to understand how these types of tasks are experienced by Deaf and Hard of Hearing (DHH) people, especially if those tasks involve any sound or compete with attention shifts (e.g., observing someone signing) in both real and virtual environments.",0,hard of hearing
We then conducted a design probe study with four participants who were visually impaired to provide design guidelines to increase the accessibility of selfie editing apps with sticker features.,1,visually impaired
"Second, we designed, implemented, and evaluated two fully functioning prototypes that embody these preferences and requirements, serving as examples for future designers and furthering progress toward understanding how to best provide peripheral audio awareness for the deaf.",1,the deaf
"We introduce Goby, a swimming aid that provides audio feedback for blind and visually impaired athletes.",1,visually impaired
A  study  was  carried  out  in  order  to  assess  the  impact  of  certain  issues  on  the  usability  of  a  typical  speech  adaptation.,0,typical
Independent path-based mobility in an unfamiliar indoor environment is a common problem faced by visually impaired community.,1,visually impaired
"The MobileASL project aims to increase accessibility by enabling Deaf people to communicate over video cell phones in their native language, American Sign Language (ASL).",0,sign language
They are used to generate a repainted document that let the colorblind enjoy similar color effects that normal color vision person does for the original document.,0,normal
"We propose the SECPT Framework which based on the visually impaired people--s travelling experience, can be a starting point of the design process for designers to encounter visually impaired people, and enable them to quick understanding the target group and determine their research area.",1,visually impaired
"This system uses special color markers, placed at key locations in the environment, that can be detected by a regular camera phone.",0,special
It is obvious that this content is inaccessible for visually impaired people because of its visual richness.,1,visually impaired
"MEMOS features structured interactive reminding impulses, a flexible task scheduling, integration of a heterogeneous group of caregivers and integration in the patient's everyday life.",0,patient
Offering virtual remote office hours would benefit disabled and non-handicapped students and faculty alike.,1,handicapped
"This paper describes the design and evaluation of a new calibration protocol for motion-capture gloves, which is designed to make the process more efficient and to be accessible for participants who are deaf and use American Sign Language (ASL).",0,sign language
"Visually impaired individuals often face challenges related to physical inactivity, stemming from limited accessibility to sports activities.",1,visually impaired
"Through an iterative design process, we developed a visualization tool (Hevelius Report) that (1) abstracts six clinically relevant concepts from 32 features, (2) visualizes patient test results, and compares them to results from healthy controls and other patients, and (3) is an interactive app to meet the specific needs in different usage scenarios.",0,patient
We present an approach which incorporates visually impaired people by visually augmenting relevant parts of tactile maps.,1,visually impaired
This poster describes the design of an accessible audio-based interface for post-processing audio content created by visually impaired seniors.,1,visually impaired
Power assist devices help manual wheelchair users to propel their wheelchair thus increasing their independence and reducing the risk of upper limb injuries due to excessive use.,0,wheelchair user
"In  order  to  determine  the  usability  of  such  a device  and  to  have  a better  understanding  of  the  issues  that  may  arise  when  manipulating  it  for  actual  interactive  tasks,  two  visually  handicapped  persons  were  asked  to  use  the  device  to  follow reading  patterns with  one  or  two  hands.  ",1,handicapped
Our system has five special characteristics.,0,special
"The researchers report their observations regarding using remote real-time American Sign Language (ASL) interpreting, captioning, and auto-captions offered by the AoD platform.",0,sign language
Deaf or hard of hearing (DHH) people participating in an online meeting often face difficulties in capturing the affective states of other speakers.,0,hard of hearing
"Conditions such as Parkinson's disease (PD), a chronic neurodegenerative disorder which severely affects the motor system, will be an increasingly common problem for our growing and aging population.",0,disorder
"In this work, we present the Tactile Code Skimmer (TCS), a tool to aid blind and visually impaired programmers with skimming code.",1,visually impaired
"We explore this idea through the lens of American Sign Language (ASL), presenting 1) a pilot study underscoring the potential value of an animated ASL character system, 2) a structured approach for designing animations for an existing ASL character system, and 3) a design probe workshop with ASL users eliciting guidelines for the animated character system design.",0,sign language
"The lack of attention to race as a construct in accessibility research presents an oversight in our field, often systematically eliminating whole areas of need and vital perspectives from the work we do.",0,whole
"Blind or Visually Impaired (BVI) people often encounter flat, inaccessible interfaces.",1,visually impaired
We evaluated four audio CAPTCHA schemes with 60 sighted and 19 visually impaired participants.,1,visually impaired
"This application has a beautiful tangible interface that would attract the attention of both visually impaired and sighted people, and multiple functions that are likely to induce collaborative communication among users.",1,visually impaired
"The results show that the system is useful in obtaining information that links geometric shapes, contents, and locations to then build a rough mental map.",0,mental
In this paper we present the results of a study designed to evaluate the computer-based methods of learning American Sign Language (ASL).,0,sign language
These findings will shape our future efforts to improve accessibility and self-directed learning for visually impaired individuals.,1,visually impaired
We hope that the WatchMe system will contribute to improving the lives of the elderly by creating a healthy link between them and their loved ones.,0,healthy
"Therefore, we designed a new visualization dashboard for Hong Kong SENCOs and special-ed teachers to assist them in pre-screening students with SLDs.",1,special
"To explore the potential of smartwatches in special education, we designed, developed and evaluated WeLi - a wearable application that assists students with intellectual and developmental disabilities (IDDs) in educational environments.",1,special
"Using results in the psycholinguistics literature on the speed and timing of American Sign Language (ASL), we built algorithms to calculate the time-duration of signs and the location/length of pauses during an ASL animation.",0,sign language
We use very low bitrates (10-60 kbps) and two low spatial resolutions (192\texttimes{}144 and 320\texttimes{}240 pixels) which may be typical of video transmission on mobile phones using 3G networks.,0,typical
"Additionally, we examined these factors using both simple and complex trends.",0,simple
"Formative studies were conducted with several blind and visually impaired participants, whose feedback is guiding the development of the user interface.",1,visually impaired
"Using Jod, we conducted six mixed hearing group sessions with 34 participants, including 18 d/Deaf or hard of hearing participants, 10 hearing participants, and 6 sign language interpreters.",0,hard of hearing
"To investigate preferences for and design of accessible on-body interaction, we conducted a study with 12 visually impaired participants.",1,visually impaired
"Yet, the use of technology in creative sound activities by people who are deaf, Deaf, and hard of hearing (DHH) has been underexplored by the research community.",0,hard of hearing
Several input solutions were examined to support interaction between a young patient and computer-based systems.,0,patient
"However, these tools continue to emerge primarily within the framework of ""treatment,"" emphasizing resolution or improvement of mental health symptoms.",1,mental
"To address this, we extended personalized ICV simulations to work in real time on a mobile device to allow people with typical colour vision greater freedom in exploring ICV.",1,typical
"Deaf and hard of hearing (DHH) individuals do not have equal access to audio information in most educational settings, even with visual translation accommodations such as sign language interpreters or captioners.",0,hard of hearing
"They are particularly apparent with the blind population, as these devices lack tactile cues and are extremely visually demanding.",0,the blind
We intend to create a mobile device-based system to help hearing parents learn sign language.,0,sign language
"We introduce a new resource for American Sign Language (ASL) modeling, the Sem-Lex Benchmark.",0,sign language
"This suggests that PSNR may not be suitable for representing subjective video quality, but can be reliable as a measure for comprehensibility of American Sign Language (ASL) video.",0,sign language
"This paper details an authentication mechanism aimed to aid individuals with visual impairments in accessing online accounts on desktop computers, and decrease the security threat of observers, or shoulder surfer, by providing an alternative to entering typical alphanumeric passwords on keyboards.",1,visually impaired
"This paper presents a collaborative approach between members of the student support service, researchers and a special needs student in order to improve his access to and participation in university education.",1,special needs
"Speech output is frequently used to provide access to interactive systems for visually impaired users, many of whom are older adults.",1,visually impaired
"Many new technologies have been developed to assist people who are visually impaired in learning about their environment, but there is little understanding of their motivations for using these tools.",1,visually impaired
Participants found the app simple to use indicating that they could effectively train it and that the descriptors were useful.,0,simple
This paper presents some of the first insights into the use of vlogging technology and techniques among the Deaf community.,0,the deaf
In this experience report we describe challenges faced by the visually impaired and explain how remote access programs in combination with voice communication programs can be used to---at least partially---compensate for those disadvantages because they don't transmit magnification.,1,visually impaired
"This paper explores the concept of audio-based games in stroke rehabilitation, hypothesizing that the removal of a visual dimension might increase patient focus on the body part being trained.",0,patient
Autistic individuals engage in sense-making as they seek to better understand themselves and relate to others within a society formed by neuro-typical social norms.,0,typical
"In this experience report, we describe an approach to ability-based focus groups with sign language users in a remote environment.",0,sign language
In this paper we discuss the progress made toward accurate synthesis of signs in American Sign Language (ASL) using a finite number of descriptive parameters.,0,sign language
"In a still ongoing multi-year research process we followed a user centred approach to explore how visually impaired people can be supported in indoor navigational issues, whether vibrotactiles are the right channel for this, where the actuators should sit on the body, whether the hardware solution would be acceptable for people to use on a daily basis in public and how they feel about the system after three weeks of usage.",1,visually impaired
We describe an initial attempt to develop a common platform for adding an audio description (AD) to an online video so that blind and visually impaired people can enjoy such material.,1,visually impaired
"Furthermore, we conducted a three-week experiment with nine healthy participants to verify the relationship between the level-up element of the player character in the game and the players’ playing styles, including playing time and frequency.",0,healthy
"The Deaf or Hard-of-Hearing (DHH) community constitutes over 430 million people globally, with about 70 million of them using sign language as their primary means of communication.",0,hard of hearing
"Through a questionnaire and discussion of photos with participants, we found that our solution provides a valuable mechanism for building understanding of ICV for people with typical colour vision.",1,typical
Results from a focus group with visually impaired users informed the design of the system.,1,visually impaired
"This document describes LuzDeploy, a system to break these installation and maintenance workflows into small, simple tasks that be completed by volunteers with little to no training.",0,simple
A pilot study with 16 able-bodied participants showed that our predictive methods led to a 108.4\% increase in phoneme entry speed and a 79.0\% reduction in phoneme error rate.,1,able-bodied
We argue that the results should be used as the initial step for proposing guidelines that assist in designing and transforming Web pages for an easier and faster access for visually impaired users.,1,visually impaired
On-line   implementations  of  the  LF-ASD  has  shown  promising   results  in  respond  to  actual  index  finger  flexions  and   imagined finger flexions within able-bodied subjects.,1,able-bodied
The goal is to provide flexible multi-modal navigation schemes which can help visually impaired users in comprehending Excel charts.,1,visually impaired
"This paper presents a novel software platform for developing and interacting with multimodal interactive electronic textbooks that provide a Dual User Interface, i.e., an interface concurrently accessible by visually impaired and sighted persons.",1,visually impaired
"In this work, we present a platform designed for children with Autism Spectrum Disorder to develop language and generalization skills, in response to the lack of applications tailored for the unique abilities, symptoms, and challenges of the autistic children.",1,disorder
"Sign languages lack a standard written form, preventing millions of Deaf people from accessing text in their primary language.",0,sign language
"In this paper we describe how we worked closely together with persons that have mental and cognitive disabilities in order to test and develop methods for participation in assessments and in processes for developing, Information and Communication Technology (ICT) products and services.",0,mental
"However, to the best of our knowledge, there is no study that examines in-depth requirements of both the planning of a trip and its implementation, looking separately at the various special needs of people with low vision and blindness.",1,special needs
Proximity-based interaction through a long cane is essential for the blind and the visually impaired.,1,the blind
"As hearing loss is arousing more and more public concern, different researches have been conducted on translating the sign language into spoken language.",0,sign language
Constraints are defined over the normal vision color space.,0,normal
"In order to ensure that this device will be useful to the blind community, we conducted surveys and interviews and we are working with subjects to test prototypes of the device.",0,the blind
The development of 3D printing technology has improved the engagement of the visually impaired people when experiencing two-dimensional visual artworks.,1,visually impaired
"RAF technologies have complex social, cultural and self-identity implications, since a ""meal"" extends well beyond the simple provisioning of nourishment.",0,simple
"A visit to hospital is traumatic for both a patient with disabilities and their family members, especially when the patient has no or limited functional speech [1].",0,patient
"However, in Hong Kong, it takes years for special education needs coordinators (SENCOs) and special-ed teachers to pre-screen and diagnose students with SLDs.",1,special
"In this survey, we determine how well PSNR matches human comprehension of sign language video.",0,sign language
"Searching unfamiliar American Sign Language (ASL) words in a dictionary is challenging for learners, as it involves recalling signs from memory and providing specific linguistic details.",0,sign language
"As part of the Blind Programming Project at Southern Illinois University Edwardsville, we are investigating ways to make programming more fun for school aged blind children.",0,the blind
"However, almost all of these applications are designed for normally sighted users; a major barrier for visually impaired users (who might benefit greatly from such applications) is the difficulty of taking good-quality images.",1,visually impaired
This paper describes improved methods of web access for  the visually impaired.,1,visually impaired
"We demonstrate a novel assistive device which can help the visually impaired or blind people to gain more safe mobility, which is called as ""EYECane"".",1,visually impaired
"Autism is classified as a neurodevelopmental disorder that manifests itself in markedly abnormal social interaction, communication ability, patterns of interests, and patterns of behavior [1].",1,abnormal
"Through discussion with physical therapists at the Kaohsiung County Special Education School, researchers understood that students with physical disabilities typically lack enthusiasm for rehabilitation, hindering their recovery of limb function and ability to care for themselves.",0,special
"In this spirit, we present our work leveraging these technologies to create a smartphone app to empower people who are visually impaired to more easily navigate indoor environments.",1,visually impaired
Considerations  about  blind  people?s  relation  to  pictures  of  real  world  objects  lead  to  the  conclusion  that  blind  and  sighted  people  have  very  similar  mental  models  of  the  3D  world.,0,mental
"To overcome the barriers in accessibility and robustness, we build a large language model (LLM)-based tool for that provide feedback to sign language learners.",0,sign language
The results showed that the proposed system succeeded in enabling the visually impaired participants to recognize the 3D shapes.,1,visually impaired
In earlier systems the user interface was a simple character based environment.,0,simple
We describe existing challenges that blind and visually impaired people encounter when trying to write alternative text for their own photographs and examine how their online sighted friends and family members might be able to contribute assistance as they make their content more accessible to other people with visual impairments.,1,visually impaired
Promising new research appears to suggest the same for the vocalization of low functioning children with Autistic Spectrum Disorder (ASD).,0,disorder
Braille and audio feedback based systems have vastly improved the lives of the visually impaired across a wide majority of the globe.,1,visually impaired
This is because the mental depiction of the context is drastically lessened due to the absence of visual information.,0,mental
The cursor trajectories of six motion-impaired users and three able-bodied users are studied according to their submovement structure.,1,able-bodied
"CopyCat is an American Sign Language (ASL) game, which uses gesture recognition technology to help young deaf children practice ASL skills.",0,sign language
"In this report, we show a sign language translation system which we are developing.",0,sign language
BrailleBlocks is a system to help blind or visually impaired children learn Braille with a sighted parent.,1,visually impaired
"To this end, we have interviewed members of our target population to gain understanding of their motivations and needs when learning sign language.",0,sign language
"WheelPoser is able to track a wheelchair user’s pose with a mean joint angle error of 14.30° and a mean joint position error of 6.74&nbsp;cm, more than three times better than similar systems using sparse IMUs.",0,wheelchair user
"The captions produced by commercial automatic speech recognition (ASR) software are far cheaper, but is often perceived as unreadable due to ASR's sensitivity to accents, background noise and slow response time.",0,slow
"This research explores sign language in virtual reality 360-degree three degrees of freedom videos, exploring two rendering modes, fixed-position and always-visible, and two visual guiding methods, arrows and radar.",0,sign language
"Deaf and hard of hearing (DHH) people have limited access to auditory input, so they mainly receive visual information during online meetings.",0,hard of hearing
"We discuss our main lessons learned in terms of requirements for sign language-accessibility within research, calling out issues such as the need to address users in their natural language, ensuring translation for all parts of research processes, and including users not only within the conducted method but already within preparation phases.",0,sign language
"Participants also raised questions about how the technology would satisfy their need for situational awareness, how the technology would enable blind or visually impaired operators to verify their arrival at their desired location and a host of issues related to parking, vehicle location and roadside assistance.",1,visually impaired
Persons with disabilities have significantly lower employment rates partly due to the lack of access to education and vocational rehabilitation and training.,0,persons with disabilities
"The approach facilitates customization, allowing users to easily embed images of almost any special interest into computer-based interventions.",0,special
"This study introduces an archery exertion game called “Hearing the Bullseye"", designed to provide a harmonious gaming environment for visually impaired players and their sighted family and friends.",1,visually impaired
Sign language is one means of communication for hearing-impaired people.,1,hearing-impaired
"However,  today's  browsers  are  primarily  graphically  or  text  oriented,  which  makes  the  whole  system  inaccessible  to  sight- impaired  users.  ",1,sight- impaired
"This work covers two distinct but related areas: first, the development of an XML-compliant notation for deaf sign language gestures, which can be used to drive the signing avatar; and, second, the development of a framework supporting the translation of natural language text into this gesture-orientated notation.",0,sign language
"The Tapulator, a complete calculator based on this non-visual numeric entry that uses simple gestures for arithmetic operations and other calculator actions is described.",0,simple
"In this paper, we extend Virtual Shelves--an interaction technique that leverages proprioception to access application shortcuts--for visually impaired users.",1,visually impaired
"We find that, while the majority of captioning research does not demonstrate a collective communication access approach, it reaches a baseline of targeting change toward inaccessible technical infrastructures and engaging d/Deaf and hard of hearing people as captioning experts.",0,hard of hearing
"Because many individuals with severe speech impairments have concomitant limb impairments, repetitive and precise movements can be slow and effortful.",0,slow
"Slide deck accessibility is often studied for people who are blind or visually impaired, but rarely for other people with access needs.",1,visually impaired
"In this paper, we explore the current use and future potential of fitness technologies for stamina and fatigue management in wheelchair basketball, a team-based sport originally created for paraplegic athletes.",0,paraplegic
"Based on requirements such as these, we argue that HCI research currently faces a dilemma when it comes to hearing researchers working with the sign language user population—having to handle the increasingly emphasized demand for conducting user research with this specific target group while lacking accessible tools and procedures to do so.",0,sign language
"It is proposed that by involving a wide number of users in the creative design process, intuitive auditory cues will be implemented with the potential to enhance spoken mathematics for visually impaired users.",1,visually impaired
Various interfaces have been devised including some simple voice controlled chairs that can understand simple commands.,0,simple
"Online data visualizations are widely used to communicate information from simple statistics to complex phenomena, supporting people in gaining important insights from data.",0,simple
"This paper reports on the design of FOQUS, an app running on a smartwatch to aid adults with mental health issues like ADHD and mild forms of attention deficiency through two main routes -- tools to foster extended focus and tools to reduce anxiety/stress.",0,mental
"Thus, we propose (1) a German grammar with syntax rules and vocabulary for mobile pedestrian navigation systems that take into account the special requirements of people with visual impairments.",1,visually impaired
"Motivated by prior findings of bystanders’ perspectives, we conducted two online surveys with visually impaired (N=128) and sighted (N=136) participants with two ‘field-of-view’ (FoV) experimental conditions related to whether information about bystanders was gathered from the front of the glasses or all directions.",1,visually impaired
"In this work, we reframe the role of machine learning as a provocation through a case study of participatory work co-creating exergames by employing machine learning and its training as a source of play and motivation rather than an accurate diagnostic tool for children with and without Sensory Based Motor Disorder.",0,disorder
A comparison of the relative value of the five video features shows that a measure of the symmetry of movement relative to the face is the best feature for distinguishing sign language videos.,0,sign language
"Unfortunately, the lack of accessibility, specifically for visually impaired developers, does not allow for universal participation.",1,visually impaired
Collected results highlight ways in which Google interfaces could be modified in order to improve usability for the blind.,1,the blind
"The overall functionality of AT depends on a set of requirements that are not always fulfilled by application developers, often resulting in cumbersome and slow interactions, or even render content inaccessible.",0,slow
The advent of system-wide accessibility services on mainstream touch-based smartphones has been a major point of inclusion for blind and visually impaired people.,1,visually impaired
A critical component of the worldwide response to the novel coronavirus COVID-19 pandemic has been providing the general public with information about the virus and the health measures designed to slow its spread.,0,slow
Members of this community access online sign language (SL) content posted on video sharing sites to stay informed.,0,sign language
This study focuses on the use of web accessibility software by people with cerebral palsy performing three typical user tasks.,1,typical
We have built a functional prototype of a mobile phone app that allows children who are deaf to look up American Sign Language (ASL) definitions of printed English words using the camera on the mobile phone.,0,sign language
"Development of automatic sign language translation (ASLT) systems could help translate between a sign language and spoken language in situations where human interpreters are unavailable, and recent advances in large multi-lingual language models may soon enable ASLT to become a reality.",0,sign language
"Informal learning environments (e.g., aquaria, zoos, science centers) are often inaccessible to the visually impaired.",1,visually impaired
These findings are based on observational data that was gathered from a study involving a visually impaired participant and a sighted companion exploring a gallery of artwork together and conversing about the artwork.,1,visually impaired
We present a simple and affordable device developed in order to address difficulties that diabetics who are blind or visually impaired encounter when attempting to independently operate a glucometer.,1,visually impaired
Machine learning techniques have the potential to play an important role in sign language recognition.,0,sign language
"Unfortunately, virtual worlds are currently not accessible to users who are visually impaired.",1,visually impaired
"For example, an adult with mental disorder may want to lead a more independent life and be capable of getting trained and keeping employed, but may experience difficulty in using public transportation to and from the workplace.",1,disorder
Nine participants with cerebral palsy performed three typical web tasks.,0,typical
The Deaf and Hard-of-hearing (DHH) community faces a lack of information in American Sign Language (ASL) and other signed languages.,0,hard of hearing
The most common CAPTCHAs require humans to decipher characters from an image and are unsuitable for visually impaired people.,1,visually impaired
"This paper developed and evaluated a prototype system that estimates types of ground surfaces by applying supervised learning techniques to activity sensing data of wheelchair users recorded by a three-axis accelerometer, focusing on knowledge extraction and visualization.",0,wheelchair user
"With Talkit++, a visually impaired student can explore a printed model tactilely, and use finger gestures and speech commands to get more information about certain elements in the model.",1,visually impaired
"Technology to automatically synthesize linguistically accurate and natural-looking animations of American Sign Language (ASL) from an easy-to-update script would make it easier to add ASL content to websites and media, thereby increasing information accessibility for many people who are deaf.",0,sign language
"Thinkers and activists in Disability Studies have conceptualised disability in various ways and more recently, critical realism was proposed as a philosophical position through which the many different facets of the disabled experience could be incorporated.",0,the disabled
"For end-users it is currently difficult to regulate the prominence of most mainstream high-tech AAC devices and tablet-based apps – they are socially conspicuous, offer poor portability, are aesthetically unconsidered, and obstruct vital non-verbal communication pathways.",0,non-verbal
Parents are most interested in acquiring more fluent sign language skills through learning to read stories to their children.,0,sign language
The final product of this research will enable visually impaired people to enjoy all the library services and resources as well as the enormous amount of information on the web more freely.,1,visually impaired
This is especially the case for visually impaired users when a hypertext anchor is inaccurately described or is described out of context.,1,visually impaired
The widespread use of images without ALT tags on webpages reduces accessibility for the visually impaired.,1,visually impaired
Smartphones provide new exciting opportunities to visually impaired users because these devices can support new assistive technologies that cannot be deployed on desktops or laptops.,1,visually impaired
A major factor in differentiating closed captioning from closed interpreting is that many deaf and hard of hearing signers rely on ASL as their primary means of communication and thus English captioning is not satisfactory.,0,hard of hearing
Our database of signing samples was collected from user studies of deaf children playing aWizard of Oz version of the game at the Atlanta Area School for the Deaf (AASD).,1,the deaf
We should then be able to develop a system that will enable hearing-impaired and normal-hearing people to play music together.,1,hearing-impaired
"Recent research has investigated automatic methods for identifying how important each word in a text is for the overall message, in the context of people who are Deaf and Hard of Hearing (DHH) viewing video with captions.",0,hard of hearing
"In this paper, we describe a study comparing the strengths of a multimodal Virtual Reality (VR) interface against traditional tactile diagrams in conveying information to visually impaired and blind people.",1,visually impaired
"In the era of ubiquitous information technologies shaping our everyday lives, the advancements of technologies ‘for the deaf’ have provided significant access for deaf users not only for participation in hearing-dominated environments but also within deaf communities.",0,the deaf
"For individuals having a motor disorder of neuromuscular origin, computer usage can be challenging.",1,disorder
A tactile map is an assistive tool for visually impaired persons to obtain special information.,1,visually impaired
"Navigating new traffic patterns can be challenging for everyone, but it poses particular difficulties for individuals who are blind or visually impaired (BVI).",1,visually impaired
12 experts across two focus groups were successful in identifying accessibility barriers throughout a set of typical early co-design activities.,0,typical
"However, language immersion can be particularly challenging for hearing parents of deaf children to provide as they may have to overcome many difficulties while learning American Sign Language (ASL).",0,sign language
"Heart failure (HF) is a leading cause of hospital admissions and readmissions, and carries significant morbidity and mortality in the elderly patient population.",0,patient
"We evaluate three interaction modes to assist visually impaired users during the camera aiming process: speech, tone, and silent feedback.",1,visually impaired
"While there is significant merit in adopting current technologies for individuals with epilepsy and their caregivers to monitor seizure patterns and notify caregivers of epileptic episodes, little effort has been made to address the user requirements of such technologies in relation to stigma-related concerns.",0,epileptic
"Instead, they are forced to go through a slow and tedious process of building a mental map of the web page, relying primarily on a screen reader's keyboard shortcuts and its serial audio readout of the textual content of the page, including metadata.",0,slow
"To increase VR sound accessibility for deaf and hard of hearing users, previous work has substituted sounds with visual or haptic feedback.",0,hard of hearing
"The range of abilities is more diverse than for able-bodied users, which makes analytical modelling harder.",1,able-bodied
"Through conducting an interview study with five visually impaired parents/guardians, we illuminate the importance parents place on images in children’s books, how they access visual information in children’s print books, and the potential of smart speakers in assisting their existing co-reading practices.",1,visually impaired
"The study indicates that the present interface is usable without prior training or instructions, even for the younger children, although it needs some improvement to fit illiterate children.",1,illiterate
"In this paper, we follow an iterative design process with feedback and suggestions from seven visually impaired participants, designing and testing AR magnification ideas using the Microsoft HoloLens.",1,visually impaired
"By considering the accessibility and ubiquity of input techniques, we can design for both motor-impaired users and ""situationally impaired"" able-bodied users who are on-the-go.",1,able-bodied
In this experience report we describe the accessibility challenges that deaf and hard of hearing committee members faced while collaborating with a larger group of hearing committee members over a period of 2½ years.,0,hard of hearing
"Therefore, many students with SLDs missed the golden time for special interventions (i.e., before six years old).",0,special
"This poster describes an approach to creating a tool to aid blind, low-vision, dyslexic, and other non-visual readers in skimming a document to answer questions.",0,dyslexic
"Prior work has explored communication challenges faced by people who are deaf and hard of hearing (DHH) and the potential role of new captioning and support technologies to address these challenges; however, the focus has been on stationary contexts such as group meetings and lectures.",0,hard of hearing
This problem of accessing information and services on the web escalates even further for visually impaired in developing regions since most are either semi-literate/illiterate or cannot afford computers and high-end phones with screen reading capability.,1,illiterate
"Results show that the system allowed artist and audience to feel a sense of unity, expanded the imagination of creative possibilities, and challenged conventional perceptions of disability in the arts and beyond.",0,challenged
"This paper presents the results of a 3-year study aimed at the development of an assistive technology that is specifically aimed at allowing students with visual disabilities to take handwritten and/or typed notes in the classroom, without relying on any classroom infrastructure, or any special accommodations by the lecturer or the institution.",1,special
Our focus user group comprises people with severe form of spastic cerebral palsy and highly restricted motor movement skills.,0,spastic
We co-designed with one blind participant and two teachers for the visually impaired (TVI) to refine our paradigms and created prototypes of bar graphs of varying levels of complexity with each paradigm.,1,visually impaired
"This study investigates patterns in the questions that visually impaired users ask about their surroundings, and presents the benefits and limitations of responses from both human and computerized sources.",1,visually impaired
"In a study with native ASL signers evaluating animations generated from either our new model or from a simple baseline (uniform speed and no pauses), participants indicated a preference for speed and pausing in ASL animations from our model.",0,simple
The rapid advancement of World Wide Web (Web) technology and constant need for attractive Websites produce pages that hinder visually impaired users.,1,visually impaired
"The differential of this game is that its input consists of videos of the user performing signs from Brazilian Sign Language corresponding to Latin alphabet letters, recorded through the game graphical interface.",0,sign language
"Moreover, displays are provided to guide the patient's movement.",0,patient
"In this case, during group sessions that involve multiple participants and various visual aids, interpreters often have limited access to the Deaf clients’ environment due to the constraints of their cameras’ field of view (FOV).",0,the deaf
"It also describes a pragmatic,  empirical methodology, closely involving dyslexic users,  which has proved highly effective.",0,dyslexic
We believe that our approach have taken steps to implement possibilities for persons with mental and cognitive disabilities to take part where user participation is needed in order not to discriminate or exclude but also to improve the overall quality of the end result.,0,mental
In this paper we present the results of a study designed to evaluate the ability of novices learning sign language to ascertain the details of a particular sign based on video presented on a mobile device.,0,sign language
"Solving a simple task in the domain of week planning, subjects readily interacted with the system.",0,simple
The work of the phonodiologist can be however strongly reduced by using appropriate devices that can help the patient to train the voice positioning.,0,patient
"Given that sign language is used as a primary means of communication by as many as two million deaf individuals in the U.S. and as augmentative communication by hearing individuals with a variety of disabilities, the development of robust, real-time sign language recognition technologies would be a major step forward in making computers equally accessible to everyone.",0,sign language
Jido is a conversational tactile map and a mobile application prototype to improve the orientation and mobility of visually impaired people.,1,visually impaired
"In special education under the guidance of a teacher, we used a ZigBee sensor network called ZigADL to assist a 9-year-old child.",1,special
"Visually impaired players (VIPs), however, must often rely heavily on SATs to gain spatial awareness, especially in complex environments where using rich ambient sound design alone may be insufficient.",1,visually impaired
"In this paper, optimized communication interfaces in which users select phonemes (sounds) instead of letters or whole words are presented and evaluated.",0,whole
"The DARE index is a benchmarking tool, for disability advocates, governments, civil society, international organizations and policy makers to trace country progress in making Information and Communication Technologies (ICT) accessible for all, in compliance with Article 9 of the Convention on the Rights of Persons with Disabilities (CRPD).",0,persons with disabilities
"Videoconferencing usage has surged in recent years, but current platforms present significant accessibility barriers for the 430 million d/Deaf or hard of hearing people worldwide.",0,hard of hearing
"To facilitate the inclusion of such users in studies, we created an ASL translation of SUS following accepted methods of survey translation: using a bilingual team including native ASL signers who are members of the Deaf community, along with back-translation evaluation to determine whether the meaning of the original was preserved.",0,the deaf
"In this paper, we describe an early study conducted with sixteen visually impaired persons, most of whom were financial novices, for co-designing the interaction interface for C hartMaster.",1,visually impaired
Wheelchair users can find accessing digital content on large multi-touch tables particularly difficult and frustrating due to their limited reach.,0,wheelchair user
We explore a community of blind or visually impaired (BVI) people through video blogs (vlogs) on YouTube.,1,visually impaired
Sign'Maths is an online dictionary that gives deaf students access to mathematical definitions in Sign Language.,0,sign language
"In an attempt to (lexically) document as many endangered sign languages in Africa as possible, we have developed a low-barrier, online crowd-sourcing platform (AfricaSign) that enables the African deaf communities to document their sign languages.",0,sign language
"Blind and visually impaired subjects performed a usability-test, and experts in the field of human-computer-interaction evaluated the dispenser system?s usability heuristically.",1,visually impaired
Programs which use the multimedia tool ACMUS for musical therapy sessions for patients with severe mental disorders are feasible and of clinical interest for future research.,1,mental
"Overall, our work contributes to our understanding of the possibilities and challenges of connecting the disabled community with the maker community and suggests new directions for collaboration, especially towards building hybrid makerspaces that provide multiple modalities for connection and creativity.",0,the disabled
"If several mental states can be reliably distinguished by recognizing patterns in EEG, then a paralyzed person could communicate to a device like a wheelchair by composing sequences of these mental states.",0,mental
"Smartwatches have the potential to provide glanceable, always-available sound feedback to people who are deaf or hard of hearing.",0,hard of hearing
"No buttons are used--only simple, easy-to-remember gestures.",0,simple
Visually impaired users are hindered in their efforts to access the World Wide Web (Web) because their information and presentation requirements are different from those of a sighted user.,1,visually impaired
Certified orientation and mobility specialists (COMS) work with clients who are blind or visually impaired (BVI) to help them travel independently with confidence.,1,visually impaired
"To address this challenge, we develop VisualComm, a tool to support communication between deaf and hearing persons with sign language recognition technology by using the Kinect.",0,sign language
